reading,pitch,roll,yaw (compass),cardinal direction,accel x,accel y,accel z,gyro x,gyro y,gyro z,mag x, mag y, mag z
1,0.9125977,0.252097,336.8653,NW,0.2298434,1.616086,-10.28549,0.03530629,0.04369987,-0.05955439,-1.919215,4.491991,-4.696756
2,0.1528244,0.4094625,337.4959,N,0.2035071,1.580173,-10.40999,0.02464779,0.06648242,-0.06395102,-2.526911,6.099267,-6.145586
3,-0.5259705,0.6363794,337.8049,N,0.1604115,1.532289,-10.32619,0.005862177,0.0676815,-0.07301075,-3.013067,7.385087,-7.30465
4,-2.083679,0.4522505,335.6793,NW,0.1939303,1.434127,-10.33816,-0.0285115,0.02105054,-0.03983616,-3.771719,8.345407,-7.734365
5,-1.762009,0.906876,334.3381,NW,0.1101333,1.448492,-10.24479,-0.0327749,0.02464779,-0.02158347,-4.37864,9.113665,-8.078137
6,-2.659752,0.1303315,334.0717,NW,0.248997,1.386243,-10.19451,-0.02518072,0.040902,-0.05475807,-4.729731,9.72827,-7.955124
7,-2.08474,1.141316,333.8824,NW,0.06703765,1.419762,-10.13226,-0.03477337,0.02344871,-0.03344105,-5.010603,10.21995,-7.856713
8,-2.854958,1.516727,333.3512,NW,0.0,1.371878,-10.17296,-0.03424044,0.01612099,-0.04356663,-5.268913,10.49941,-8.474537
9,-0.5821228,1.099375,332.9494,NW,0.07661445,1.534683,-10.4052,-0.07953908,-0.02957735,0.004796327,-5.475561,10.72297,-8.968796
10,5.96389,1.075014,332.649,NW,0.08619126,1.963245,-11.00615,-0.1961165,-0.002398163,0.02198316,-5.674491,10.97016,-8.468636
11,2.785202,0.03882885,332.4194,NW,0.2992752,1.819593,-11.45625,-0.4411288,0.146288,0.02211639,-5.833635,11.16791,-8.068507
12,4.921799,0.9815302,331.9764,NW,0.1101333,1.958457,-11.62624,-0.7706098,0.1990476,-0.03783769,-6.028172,11.3261,-7.94742
13,24.37264,-1.812685,328.1194,NW,0.6919243,2.983175,-11.51372,-2.024849,0.09739207,-0.01572129,-7.024089,11.29321,-8.149073
14,44.9632,-1.345836,325.2339,NW,0.5530606,4.07972,-10.2807,-2.50315,0.1087167,-0.1215069,-7.820823,11.2669,-8.310395
15,58.94102,-1.099008,316.5197,NW,0.4644751,5.224148,-8.722076,-2.78107,-0.1203079,-0.1500184,-10.64296,11.22307,-7.344869
16,67.73506,2.632784,310.9332,NW,-0.1915361,6.746861,-7.151481,-2.975321,-0.2362191,-0.0459648,-12.90066,11.188,-6.572448
17,71.77878,1.409663,303.1648,NW,0.01675941,7.539341,-4.857835,-2.803986,-0.305899,0.1821272,-16.58907,10.84105,-2.173225
18,74.59032,-0.3134773,298.3963,NW,0.2920926,8.717288,-2.750938,-2.51101,-0.09126345,0.1842589,-19.53979,10.56348,1.346153
19,75.79569,0.9050268,291.8554,W,0.09576806,8.889671,-1.197101,-2.117445,0.1429572,0.4051564,-23.68178,9.498615,9.236544
20,76.56725,-1.87298,284.9937,W,0.5243302,8.851364,-0.1316811,-1.972889,0.4135499,0.6179267,-27.0962,7.25721,21.61882
21,77.55148,-6.123328,280.3808,W,1.151611,8.511387,1.122881,-1.939714,0.263798,0.712521,-29.82775,5.464086,31.52464
22,78.65651,-10.29373,274.9913,W,1.819593,8.355764,2.430115,-1.777306,-0.02438133,0.6299176,-32.31548,2.822307,43.92714
23,79.79179,-10.4635,271.1838,W,1.958457,8.389283,3.847482,-1.380143,-0.01878561,0.4692406,-34.30567,0.7088839,53.84914
24,81.00971,-17.54997,266.4077,W,3.160346,7.850587,4.687847,-0.6016726,0.01585452,0.1981149,-35.59531,-2.234691,64.07541
25,81.78792,-17.10508,262.1273,W,3.078943,7.560889,5.130774,-0.5333248,-0.01838592,0.0791394,-36.15647,-4.999571,74.64461
26,83.77586,-13.98702,258.8551,W,2.60968,7.058106,6.220136,-0.3035009,0.2017122,-0.1067183,-36.6054,-7.211475,83.09997
27,84.72575,-12.65545,255.8495,W,2.384625,6.799533,6.55293,0.1545483,0.0612864,-0.008260341,-36.79648,-9.277123,90.3618
28,82.89825,-13.11499,253.7914,W,2.466028,7.359776,5.920861,0.4612468,-0.06421748,-0.01598775,-37.28546,-10.83853,96.17126
29,82.20412,-13.72766,252.2124,W,2.60968,7.678205,5.722142,0.8718656,-0.1810613,-0.3783769,-37.67665,-12.08765,100.8188
30,80.96189,-12.37485,251.4368,W,2.387019,8.212111,5.070919,1.391201,-0.1389602,-0.4240752,-38.35932,-12.88194,102.2482
31,79.29878,-11.32948,250.8406,W,1.975216,8.11395,3.031059,1.977152,-0.1340307,-0.6734842,-38.90546,-13.51737,103.3917
32,77.66347,-7.198791,251.7406,W,1.347936,8.693346,1.319205,2.267197,-0.1075177,-0.8023189,-39.61126,-13.069,99.53015
33,76.12434,-4.648941,254.7092,W,0.914585,8.439561,-0.6703765,2.497421,-0.05382545,-0.7939253,-40.07507,-10.95634,90.96799
34,73.22166,3.210128,258.8996,W,-0.2633622,8.02297,-3.871424,2.645307,0.06834765,-0.6708196,-39.10166,-7.671684,78.1478
35,65.12817,3.058799,264.0141,W,-0.2561796,6.01184,-7.376535,2.810114,0.1793293,-0.4587153,-36.37346,-3.813904,62.91627
36,59.57275,4.827172,268.7808,W,-0.5650316,5.188235,-8.276755,2.674352,0.1937183,-0.4104856,-34.19091,-0.7276793,50.73104
37,52.29463,4.214296,273.0721,W,-0.4596867,4.386178,-8.714894,2.451855,-0.05715622,-0.2374182,-32.44486,1.7413,40.98287
