,x_acc,y_acc,z_acc,x_rot,y_rot,z_rot,x_mag,y_mag,z_mag
0,-0.1717352,0.0632849,-0.2656632,3.2824504,0.0526724,9.3086557,-18.0083961,-18.0084038,18.0084
1,-0.0791394,0.0868668,-0.4917567,3.2632968,0.56982,8.9758625,-18.0083961,-18.0084038,18.0084
2,-0.2775208,0.1518837,-0.3054993,3.2561142,0.6081272,8.8585463,-18.0083961,-18.0084038,18.0084
3,0.1638745,0.3244182,-0.0499617,2.8658595,-0.8738836,8.9950161,-18.0083961,-18.0084038,18.0084
4,0.0375712,-0.2196984,-0.2668623,2.360683,-0.2082956,9.2895021,-18.0083961,-18.0084038,18.0084
5,0.0237152,0.0315758,0.0728775,3.0286651,0.5291186,9.2775316,-18.0083961,-18.0084038,18.0084
6,-0.0935284,0.163608,0.1757321,3.265691,0.3016694,9.0045929,-18.0083961,-18.0084038,18.0084
7,-0.1047198,0.163608,0.2566035,2.9257145,0.1125275,9.0476885,-18.0083961,-18.0084038,18.0084
8,-0.040902,0.0350398,-0.012657,2.8299465,-0.0646434,9.0692358,-18.0083961,-18.0084038,18.0084
9,-0.0291777,-0.0049296,-0.0047963,2.7509377,0.1412579,9.0812073,-18.0083961,-18.0084038,18.0084
10,-0.0335743,0.0165207,-0.0345069,2.8395233,0.1077391,9.2727432,-18.0083961,-18.0084038,18.0084
11,-0.0522267,0.0278453,0.0122573,2.7437551,0.0957681,9.1434565,-18.0083961,-18.0084038,18.0084
12,-0.0354395,0.0315758,-0.0319755,2.7700913,0.1628057,9.1578217,-18.0083961,-18.0084038,18.0084
13,-0.0246478,0.0715452,-0.0003997,2.9759927,0.1556231,9.1721869,-18.0083961,-18.0084038,18.0084
14,-0.0171868,-0.0047963,-0.0349066,2.9065609,0.0430956,9.0548706,-18.0083961,-18.0084038,18.0084
15,-0.0438331,0.0137228,-0.0061286,2.9783869,0.2274492,9.131485,-18.0083961,-18.0084038,18.0084
16,-0.0346401,0.0333078,-0.0123905,2.7700913,0.1436521,9.1697922,-18.0083961,-18.0084038,18.0084
17,-0.0234487,0.0323752,-0.0267795,2.8299465,0.1675941,9.1721869,-18.0083961,-18.0084038,18.0084
18,-0.0631516,0.0603538,-0.0129234,2.8467059,0.1628057,9.1889458,-18.0083961,-18.0084038,18.0084
19,-0.0358392,0.0301103,-0.0173201,2.8060043,0.1604115,9.1530333,-18.0083961,-18.0084038,18.0084
20,-0.0422343,0.0182527,0.0042634,2.9041667,0.1292869,9.131485,-18.0083961,-18.0084038,18.0084
